,S,ethReturn,bullReturn,bullCumulativeReturn
265,48.130863349721686,0.029987402716375566,0.0137877157336688,-0.2873468778809908
266,50.53411539288204,0.048725039507911294,0.020406205504155648,-0.2669406723768351
267,48.56872911913649,-0.03966877048136652,-0.014809356222952734,-0.2817500285997878
268,45.75380418797096,-0.05970495013722088,-0.024195716715047246,-0.30594574531483504
269,42.591522558618486,-0.07161970741365487,-0.03002226326662524,-0.33596800858146025
270,39.74224271551817,-0.06924056225572262,-0.028844243142825934,-0.36481225172428616
271,40.60150773353433,0.021390531967216297,0.010598385462792044,-0.3542138662614941
272,39.791473334969865,-0.020152550688735005,-0.006164093128527806,-0.3603779593900219
273,40.174205975442554,0.00957249575909902,0.006057440409695611,-0.35432051898032624
274,43.049646885721884,0.06912888113537896,0.02709319635445565,-0.32722732262587056
275,42.49870774560963,-0.012880358935399627,-0.0030684677422640723,-0.3302957903681346
276,41.293887517668615,-0.02875918246232878,-0.00991605119730307,-0.34021184156543766
277,43.25340789616993,0.04636153854075342,0.019596551305244323,-0.3206152902601933
278,42.39948435294736,-0.019939824883998813,-0.006072569539570552,-0.32668785979976384
279,43.59515446861392,0.027809807461085967,0.012988935022981514,-0.3136989247767823
280,45.256662864270744,0.03740389678764977,0.016461973243829617,-0.29723695153295265
281,43.624698368393055,-0.036726438618480906,-0.013474506725110162,-0.3107114582580628
282,39.037023750496274,-0.11111294356751023,-0.050636913427960034,-0.36134837168602285
283,39.06579960271377,0.0007368710191029137,0.0025441310951368782,-0.35880424059088595
284,38.6467017347344,-0.010785959113519983,-0.0021896064314655657,-0.3609938470223515
285,38.035612870249984,-0.01593853300249659,-0.004361941014440732,-0.3653557880367922
286,35.84525050792197,-0.059311825718905364,-0.024006580510279565,-0.38936236854707174
287,36.90738947113173,0.02920071174423189,0.013499854411933606,-0.3758625141351381
288,34.370288671553965,-0.07121929790195836,-0.029823494122243135,-0.4056860082573812
289,36.744002887934506,0.06678253585350413,0.02635184877237021,-0.379334159485011
290,33.276511050283034,-0.09912325139174305,-0.04416749068126899,-0.42350165016627994
291,33.386569270993995,0.0033019272489376306,0.003574495982877876,-0.41992715418340204
292,34.439272949950976,0.03104386723132846,0.014173025691873094,-0.4057541284915289
293,34.42827439479106,-0.0003194118471609997,0.002117352247444723,-0.40363677624408417
294,31.5226652458433,-0.08817133815404032,-0.038418722435396985,-0.44205549867948113
295,34.5208758534168,0.0908574195334122,0.03361694359176018,-0.408438555087721
296,36.02022728142492,0.04251641135502826,0.018263803561655165,-0.3901747515260658
